session_code,line,party
952_2,No,PSL
960,No,PT
960,No,MDB
960,Yes,PFL
960,No,PP
960,No,PTB
960,Yes,PSDB
960,Yes,PPS
960,No,PSB
960,Yes,PDT
960,No,PCdoB
960,Yes,PSC
960,No,PV
960,Yes,PRONA
960,No,GOV.
960,No,PL
960,No,PSL
3102,Yes,PT
3102,No,PSDB
3102,No,PFL
3102,Yes,PP
3102,Yes,PR
3102,No,PPS
3102,Yes,PV
3102,No,PSOL
3102,Yes,GOV.
3102,Yes,MDB
3102,Yes,PTB
3102,Yes,PSC
3102,Yes,PTC
3102,Yes,PSB
3102,Yes,PDT
3102,Yes,PCdoB
3102,Yes,PMN
3102,Yes,PAN
3102,Yes,PHS
3102,Yes,PRB
3102_2,No,PT
3102_2,No,PSDB
3102_2,Obstruction,PFL
3102_2,No,PP
3102_2,No,PR
3102_2,No,PPS
3102_2,No,PV
3102_2,No,PSOL
3102_2,No,GOV.
3102_2,No,MDB
3102_2,No,PTB
3102_2,No,PSC
3102_2,No,PTC
3102_2,No,PSB
3102_2,No,PDT
3102_2,No,PCdoB
3102_2,No,PMN
3102_2,No,PAN
3102_2,No,PHS
3102_2,No,PRB
3102_3,No,PT
3102_3,Yes,PSDB
3102_3,Yes,PFL
3102_3,No,PP
3102_3,No,PR
3102_3,Yes,PPS
3102_3,No,PV
3102_3,Yes,PSOL
3102_3,No,GOV.
3102_3,No,MDB
3102_3,No,PTB
3102_3,No,PSC
3102_3,No,PTC
3102_3,No,PSB
3102_3,No,PDT
3102_3,No,PCdoB
3102_3,No,PMN
3102_3,No,PAN
3102_3,No,PHS
3102_3,No,PRB
5894,Yes,PT
5894,Yes,PSDB
5894,Yes,PR
5894,Yes,PSD
5894,Yes,PSB
5894,Yes,DEM
5894,Yes,PRB
5894,Yes,PDT
5894,Yes,Solidaried
5894,Yes,PCdoB
5894,Yes,PPS
5894,Yes,PHS
5894,Yes,PV
5894,Yes,PSOL
5894,Yes,PROS
5894,Yes,REDE
5894,Yes,PMB
5894,Yes,PRP
5894,Yes,PRTB
5894,Yes,GOV.
5894,Yes,PP
5894,Yes,PTB
5894,Yes,PSC
5894,Yes,MDB
5894,Yes,Patriota
5894,Yes,Podemos
5894,Yes,Avante
5894,Yes,PSL
3249,No,PT
3249,Obstruction,DEM
3249,Obstruction,PSDB
3249,No,PP
3249,No,PR
3249,No,PTB
3249,No,PV
3249,Obstruction,PPS
3249,Obstruction,PSOL
3249,No,GOV.
3249,No,MDB
3249,No,PSC
3249,No,PTC
3249,No,PSB
3249,No,PDT
3249,No,PCdoB
3249,No,PMN
3249,No,PHS
3249,No,PRB
3248,No,PT
3248,Obstruction,DEM
3248,Obstruction,PSDB
3248,No,PP
3248,No,PR
3248,No,PTB
3248,No,PV
3248,Obstruction,PPS
3248,Obstruction,PSOL
3248,No,GOV.
3248,No,MDB
3248,No,PSC
3248,No,PTC
3248,No,PSB
3248,No,PDT
3248,No,PCdoB
3248,No,PMN
3248,No,PHS
3248,No,PRB
3249_2,Yes,PT
3249_2,Obstruction,DEM
3249_2,Obstruction,PSDB
3249_2,Yes,PP
3249_2,Yes,PR
3249_2,Yes,PTB
3249_2,Yes,PV
3249_2,Obstruction,PPS
3249_2,Obstruction,PSOL
3249_2,Yes,GOV.
3249_2,Yes,MDB
3249_2,Yes,PSC
3249_2,Yes,PTC
3249_2,Yes,PSB
3249_2,Yes,PDT
3249_2,Yes,PCdoB
3249_2,Yes,PMN
3249_2,Yes,PHS
3249_2,Yes,PRB
3250,No,PT
3250,Obstruction,DEM
3250,Obstruction,PSDB
3250,No,PP
3250,No,PR
3250,No,PTB
3250,No,PV
3250,Obstruction,PPS
3250,Obstruction,PSOL
3250,No,GOV.
3250,No,MDB
3250,No,PSC
3250,No,PTC
3250,No,PSB
3250,No,PDT
3250,No,PCdoB
3250,No,PMN
3250,No,PHS
3250,No,PRB
3249_3,Yes,PT
3249_3,Obstruction,DEM
3249_3,Obstruction,PSDB
3249_3,Yes,PP
3249_3,Yes,PR
3249_3,Yes,PTB
3249_3,Yes,PV
3249_3,Obstruction,PPS
3249_3,Obstruction,PSOL
3249_3,Yes,GOV.
3249_3,Yes,MDB
3249_3,Yes,PSC
3249_3,Yes,PTC
3249_3,Yes,PSB
3249_3,Yes,PDT
3249_3,Yes,PCdoB
3249_3,Yes,PMN
3249_3,Yes,PHS
3249_3,Yes,PRB
3250_2,Yes,PT
3250_2,Obstruction,DEM
3250_2,Obstruction,PSDB
3250_2,Yes,PP
3250_2,Yes,PR
3250_2,Yes,PTB
3250_2,Yes,PV
3250_2,Obstruction,PPS
3250_2,Obstruction,PSOL
3250_2,Yes,GOV.
3250_2,Yes,MDB
3250_2,Yes,PSC
3250_2,Yes,PTC
3250_2,Yes,PSB
3250_2,Yes,PDT
3250_2,Yes,PCdoB
3250_2,Yes,PMN
3250_2,Yes,PHS
3250_2,Yes,PRB
3249_4,Yes,PT
3249_4,Obstruction,DEM
3249_4,Obstruction,PSDB
3249_4,Yes,PP
3249_4,Yes,PR
3249_4,Yes,PTB
3249_4,Yes,PV
3249_4,Obstruction,PPS
3249_4,Obstruction,PSOL
3249_4,Yes,GOV.
3249_4,Yes,MDB
3249_4,Yes,PSC
3249_4,Yes,PTC
3249_4,Yes,PSB
3249_4,Yes,PDT
3249_4,Yes,PCdoB
3249_4,Yes,PMN
3249_4,Yes,PHS
3249_4,Yes,PRB
16421,Yes,MDB
16421,Yes,PT
16421,Yes,PSDB
16421,Yes,PSD
16421,Yes,PR
16421,Yes,PSB
16421,Yes,DEM
16421,Yes,PRB
16421,Yes,PDT
16421,Yes,Podemos
16421,Yes,Solidaried
16421,Yes,PCdoB
16421,Yes,PSC
16421,Yes,PPS
16421,Yes,PHS
16421,Yes,PV
16421,Yes,PSOL
16421,Yes,Patriota
16421,Yes,GOV.
16421,Yes,PP
16421,Yes,Avante
16421,Yes,PTB
16421,Yes,PROS
16421,Yes,PSL
16421,Yes,PRP
3080,No,PT
3080,Yes,PFL
3080,Yes,PSDB
3080,No,PP
3080,No,PR
3080,Yes,PPS
3080,No,PV
3080,Yes,PSOL
3080,No,GOV.
3080,No,MDB
3080,No,PTB
3080,No,PSC
3080,No,PTC
3080,No,PSB
3080,No,PDT
3080,No,PCdoB
3080,No,PMN
3080,No,PAN
3080,No,PHS
3080,No,PRB
3080_2,Yes,PT
3080_2,No,PFL
3080_2,No,PSDB
3080_2,Yes,PP
3080_2,Yes,PR
3080_2,No,PPS
3080_2,No,PV
3080_2,No,PSOL
3080_2,Yes,GOV.
3080_2,Yes,MDB
3080_2,Yes,PTB
3080_2,Yes,PSC
3080_2,Yes,PTC
3080_2,Yes,PSB
3080_2,Yes,PDT
3080_2,Yes,PCdoB
3080_2,Yes,PMN
3080_2,Yes,PAN
3080_2,Yes,PHS
3080_2,Yes,PRB
1022,No,PT
1022,No,MDB
1022,Obstruction,PFL
1022,No,PP
1022,No,PTB
1022,No,PSDB
1022,No,PPS
1022,No,PSB
1022,No,PDT
1022,No,PCdoB
1022,No,PSC
1022,No,PV
1022,Obstruction,PRONA
1022,No,GOV.
1022,No,PL
1022,No,PSL
4772,No,PT
4772,No,MDB
4772,Yes,PSDB
4772,No,PSD
4772,No,PP
